box,harness,model,seed,holdout_auc,best_eval_auc,frame_stats,n_hits,note,kinds,where,lines
runs,pi,deepseek-4.1-flash,16,0.7470504500780001,0.7479,False,0,,,,
runs,pi,deepseek-4.1-flash,17,0.756691069712,0.7571,False,0,,,,
runs,pi,deepseek-4.1-flash,18,0.724433563524,0.7236,False,0,,,,
runs,pi,deepseek-4.1-flash,19,0.7563015644479999,0.7577,False,0,,,,
runs,pi,deepseek-4.1-flash,20,0.7393113662299999,0.7373,False,0,,,,
runs,pi,deepseek-4.1-flash,21,0.7605702691439999,0.7603,False,0,,,,
runs,pi,deepseek-4.1-flash,22,0.7640753347160001,0.7638,False,0,,,,
runs,pi,deepseek-4.1-flash,23,0.742833858438,0.7426,False,0,,,,
runs,pi,deepseek-4.1-flash,24,0.731987816966,0.7307,False,0,,,,
runs,pi,deepseek-4.1-flash,25,0.75813198723,0.7577,False,0,,,,
runs,pi,deepseek-4.1-flash,26,0.7465971720979999,0.7457,False,0,,,,
runs,pi,glm-5.3-flash,14,0.752863545776,0.7528,False,0,,,,
runs,pi,glm-5.3-flash,15,0.750144547892,0.7498,False,0,,,,
runs,pi,glm-5.3-flash,16,0.743559732214,0.7436,False,0,,,,
runs,pi,glm-5.3-flash,17,0.739033098816,0.7379,False,0,,,,
runs,pi,glm-5.3-flash,18,0.732904754958,0.7324,False,0,,,,
runs,pi,glm-5.3-flash,19,0.723579572092,0.7223,False,0,,,,
runs,pi,glm-5.3-flash,20,0.738181341824,0.7379,False,0,,,,
runs,pi,glm-5.3-flash,21,0.7424612145220001,0.7427,False,0,,,,
runs,pi,glm-5.3-flash,22,0.7185518639520001,0.7181,False,0,,,,
runs,pi,glm-5.3-flash,23,0.7298402703320002,0.7278,False,0,,,,
runs,pi,glm-5.3-flash,24,0.7493328372000001,0.7489,False,0,,,,
runs,pi,glm-5.3-flash,25,0.7219991605760001,0.7211,False,0,,,,
runs,pi,glm-5.3-flash,26,0.7181957604120001,0.7177,False,0,,,,
runs,hermes,deepseek-4.1-flash,27,0.76630549543,0.7669,False,0,,,,
runs,hermes,deepseek-4.1-flash,28,0.7452009062119999,0.744,False,0,,,,
runs,hermes,deepseek-4.1-flash,29,0.730504840442,0.7296,True,2,,groupby,_dep_frac;_frac_in_day,"71: for o, idx in tmp.groupby(""o"").groups.items(): | 83: for k, idx in tmp.groupby(""k"").groups.items():"
runs,hermes,deepseek-4.1-flash,30,0.7276025870959999,0.7285,False,0,,,,
runs,hermes,deepseek-4.1-flash,31,0.732050991572,0.7309,False,0,,,,
runs,hermes,deepseek-4.1-flash,32,0.753492415282,0.7531,False,0,,,,
runs,hermes,deepseek-4.1-flash,33,0.754818389666,0.7542,False,0,,,,
runs,hermes,deepseek-4.1-flash,34,0.7370515571759999,0.7372,False,0,,,,
runs,hermes,deepseek-4.1-flash,35,0.7258355577160001,0.7253,False,0,,,,
runs,hermes,deepseek-4.1-flash,36,0.731698770902,0.7304,False,0,,,,
runs,hermes,deepseek-4.1-flash,37,0.735595304002,0.7354,False,0,,,,
runs,hermes,deepseek-4.1-flash,38,0.742538225632,0.7411,False,0,,,,
runs,hermes,deepseek-4.1-flash,39,0.7492438780940001,0.7479,False,0,,,,
