study,box,harness,model,seed,compliant,holdout_auc,auc_2006_rescored,auc_2007,seconds,error
study2,var3,opencode,glm-5.3-flash,37,True,0.7475961319039999,0.746773,0.724315,190,
study2,var3,opencode,glm-5.3-flash,39,True,0.7398533769240001,0.739828,0.725795,211,
study2,var3,opencode,glm-5.3-flash,38,True,0.743785399686,0.743156,0.733580,251,
study2,var4,opencode,glm-5.3-flash,40,True,0.7382091522040001,0.737440,0.732320,240,
study2,var4,opencode,glm-5.3-flash,41,True,0.7297915366000001,0.729612,0.725619,226,
study2,var4,opencode,glm-5.3-flash,43,True,0.7283249863460001,0.727899,0.728271,140,
study2,var4,opencode,glm-5.3-flash,42,True,0.7565166228219999,0.755251,0.735125,166,
study2,var4,opencode,glm-5.3-flash,45,True,0.7252400575760001,0.725028,0.724512,52,
study2,var4,opencode,glm-5.3-flash,44,True,0.739848640448,0.738573,0.725757,70,
study2,var4,opencode,glm-5.3-flash,49,True,0.732069193904,0.731186,0.727075,76,
study2,var4,opencode,glm-5.3-flash,48,True,0.729295309012,0.729300,0.723403,123,
study2,var4,opencode,glm-5.3-flash,47,True,0.747494669578,0.747495,0.724979,194,
study2,var4,opencode,glm-5.3-flash,46,True,0.741091684316,0.740115,0.724766,210,
study2,var4,opencode,glm-5.3-flash,52,True,0.7488187489860001,0.747514,0.726043,36,
study2,var1,pi,deepseek-4.1-flash,1,True,0.759014665142,0.758993,0.722618,84,
study2,var4,opencode,glm-5.3-flash,50,True,0.7444913629079999,0.743968,0.723761,201,
study2,var4,opencode,glm-5.3-flash,51,True,0.74017668181,0.739575,0.730811,189,
study2,var1,pi,deepseek-4.1-flash,2,True,0.744109547988,0.744110,0.723420,140,
study2,var1,pi,deepseek-4.1-flash,6,True,0.7458210981,0.745821,0.725273,75,
study2,var1,pi,deepseek-4.1-flash,5,True,0.7475904894600001,0.747413,0.735019,139,
study2,var1,pi,deepseek-4.1-flash,3,True,0.7571240242499999,0.756435,0.725399,241,
study2,var1,pi,deepseek-4.1-flash,4,True,0.739052051084,0.739055,0.726513,201,
study2,var1,pi,deepseek-4.1-flash,8,True,0.726938831048,0.726770,0.725234,94,
study2,var1,pi,deepseek-4.1-flash,10,True,0.758691274332,0.758865,0.732319,153,
study2,var1,pi,deepseek-4.1-flash,7,True,0.739722383986,0.739612,0.730084,243,
study2,var1,pi,deepseek-4.1-flash,12,True,0.7268372380020001,0.726453,0.726422,27,
study2,var1,pi,deepseek-4.1-flash,9,True,0.7242558456879999,0.724206,0.726085,199,
study2,var1,pi,deepseek-4.1-flash,11,True,0.7366468354360001,0.736648,0.723697,158,
study2,var2,pi,deepseek-4.1-flash,14,True,0.7435945529820001,0.745438,0.735192,147,
study2,var2,pi,deepseek-4.1-flash,15,True,0.736082858974,0.736199,0.723670,147,
study2,var2,pi,deepseek-4.1-flash,18,True,0.724433563524,0.723920,0.723897,29,
study2,var2,pi,deepseek-4.1-flash,16,True,0.7470504500780001,0.747030,0.727970,159,
study2,var1,pi,deepseek-4.1-flash,13,True,0.755763572356,0.755606,0.732070,244,
study2,var2,pi,deepseek-4.1-flash,19,True,0.7563015644479999,0.756108,0.719873,116,
study2,var2,pi,deepseek-4.1-flash,20,True,0.7393113662299999,0.739727,0.720979,134,
study2,var2,pi,deepseek-4.1-flash,17,True,0.756691069712,0.756363,0.737094,220,
study2,var2,pi,deepseek-4.1-flash,22,True,0.7640753347160001,0.763933,0.734363,142,
study2,var2,pi,deepseek-4.1-flash,21,True,0.7605702691439999,0.760256,0.725361,234,
study2,var2,pi,deepseek-4.1-flash,23,True,0.742833858438,0.741092,0.723484,144,
study2,var2,pi,deepseek-4.1-flash,24,True,0.731987816966,0.731717,0.721092,125,
study2,var2,pi,deepseek-4.1-flash,25,True,0.75813198723,0.757906,0.737834,212,
study2,var2,pi,deepseek-4.1-flash,26,True,0.7465971720979999,0.746678,0.706561,205,
study2,var3,pi,deepseek-4.1-flash,27,True,0.746209501524,0.747075,0.723861,251,
study2,var3,pi,deepseek-4.1-flash,29,True,0.72446775876,0.724463,0.724410,83,
study2,var3,pi,deepseek-4.1-flash,28,True,0.7529350013439999,0.752966,0.724736,277,
study2,var3,pi,deepseek-4.1-flash,30,True,0.7564078847159998,0.756240,0.729144,166,
study2,var3,pi,deepseek-4.1-flash,31,True,0.750933238334,0.751249,0.719781,116,
study2,var3,pi,deepseek-4.1-flash,34,True,0.733034939548,0.733386,0.721361,32,
study2,var3,pi,deepseek-4.1-flash,32,True,0.7502477343339999,0.749707,0.729153,128,
study2,var3,pi,deepseek-4.1-flash,35,True,0.7450628243940001,0.744125,0.732162,73,
study2,var3,pi,deepseek-4.1-flash,38,True,0.725632047828,0.725632,0.725093,13,
study2,var3,pi,deepseek-4.1-flash,37,True,0.7227182272920001,0.722759,0.724476,90,
study2,var3,pi,deepseek-4.1-flash,33,True,0.7567363173399999,0.756673,0.727909,218,
study2,var3,pi,deepseek-4.1-flash,36,True,0.761273795958,0.761130,0.729618,166,
study2,var3,pi,deepseek-4.1-flash,39,True,0.7605417501299999,0.759820,0.730753,160,
study2,var4,pi,deepseek-4.1-flash,43,True,0.7235173323440001,0.723689,0.725260,63,
study2,var4,pi,deepseek-4.1-flash,40,True,0.7566142940359999,0.757039,0.720590,206,
study2,var4,pi,deepseek-4.1-flash,41,True,0.7694962489799999,0.769531,0.728475,215,
study2,var4,pi,deepseek-4.1-flash,42,True,0.7423935184560001,0.742374,0.722361,184,
study2,var4,pi,deepseek-4.1-flash,44,True,0.749756000106,0.749889,0.723940,122,
study2,var4,pi,deepseek-4.1-flash,47,True,0.747008496278,0.747008,0.718464,80,
study2,var4,pi,deepseek-4.1-flash,45,True,0.7461324508720001,0.746088,0.732062,138,
study2,var4,pi,deepseek-4.1-flash,46,True,0.7398105754819999,0.739473,0.720578,226,
study2,var4,pi,deepseek-4.1-flash,50,True,0.76451057846,0.764386,0.732479,161,
study2,var4,pi,deepseek-4.1-flash,48,True,0.731757790878,0.732117,0.724921,240,
study2,var4,pi,deepseek-4.1-flash,51,True,0.744117653648,0.744115,0.726667,160,
study2,var4,pi,deepseek-4.1-flash,52,False,0.74204080766,0.741925,0.745288,165,
study2,var4,pi,deepseek-4.1-flash,49,True,0.752838159908,0.752334,0.722089,372,
study2,var1,pi,glm-5.3-flash,3,True,0.725857892404,0.725146,0.724517,103,
study2,var1,pi,glm-5.3-flash,1,True,0.729421826182,0.729743,0.716359,251,
study2,var1,pi,glm-5.3-flash,2,True,0.7269412587619999,0.726360,0.725976,251,
study2,var1,pi,glm-5.3-flash,4,True,0.746929053798,0.746809,0.734888,223,
study2,var1,pi,glm-5.3-flash,8,True,0.734776494958,0.734747,0.733135,87,
study2,var1,pi,glm-5.3-flash,7,True,0.738692308068,0.738711,0.730690,127,
study2,var1,pi,glm-5.3-flash,5,True,0.7355075997520001,0.735439,0.729380,282,
study2,var1,pi,glm-5.3-flash,6,True,0.741217059212,0.741167,0.731505,308,
study2,var1,pi,glm-5.3-flash,9,True,0.73641160609,0.736301,0.730395,120,
study2,var1,pi,glm-5.3-flash,10,True,0.7356993909199999,0.735798,0.722688,138,
study2,var1,pi,glm-5.3-flash,12,True,0.721319911688,0.721041,0.723872,81,
study2,var1,pi,glm-5.3-flash,13,True,0.7597404541660001,0.758518,0.738122,127,
study2,var2,pi,glm-5.3-flash,14,True,0.752863545776,0.752126,0.731474,205,
study2,var1,pi,glm-5.3-flash,11,True,0.753594121152,0.751182,0.733552,304,
study2,var2,pi,glm-5.3-flash,15,True,0.750144547892,0.750120,0.726904,199,
study2,var2,pi,glm-5.3-flash,16,True,0.743559732214,0.743015,0.720999,142,
study2,var2,pi,glm-5.3-flash,19,True,0.723579572092,0.723644,0.725580,29,
study2,var2,pi,glm-5.3-flash,17,True,0.739033098816,0.736497,0.727596,107,
study2,var2,pi,glm-5.3-flash,22,True,0.7185518639520001,0.718547,0.722412,20,
study2,var2,pi,glm-5.3-flash,18,True,0.732904754958,0.733616,0.729848,160,
study2,var2,pi,glm-5.3-flash,21,True,0.7424612145220001,0.740539,0.731784,160,
study2,var2,pi,glm-5.3-flash,20,True,0.738181341824,0.738334,0.734535,201,
study2,var2,pi,glm-5.3-flash,26,True,0.7181957604120001,0.717905,0.721542,37,
study2,var2,pi,glm-5.3-flash,25,True,0.7219991605760001,0.721804,0.724776,104,
study2,var2,pi,glm-5.3-flash,24,True,0.7493328372000001,0.749194,0.729862,226,
study2,var2,pi,glm-5.3-flash,23,True,0.7298402703320002,0.729661,0.709694,327,
study2,var3,pi,glm-5.3-flash,29,True,0.72649554758,0.726343,0.726877,89,
study2,var3,pi,glm-5.3-flash,28,True,0.7387094593479999,0.738569,0.723137,183,
study2,var3,pi,glm-5.3-flash,27,True,0.731051015672,0.731110,0.711696,268,
study2,var3,pi,glm-5.3-flash,30,True,0.7373692157980001,0.737697,0.724579,119,
study2,var3,pi,glm-5.3-flash,33,True,0.72714111663,0.726496,0.719160,39,
study2,var3,pi,glm-5.3-flash,31,True,0.74634555777,0.745705,0.728606,131,
study2,var3,pi,glm-5.3-flash,36,True,0.722021335912,0.722021,0.723350,35,
study2,var3,pi,glm-5.3-flash,32,True,0.7262771311160001,0.726180,0.717174,165,
study2,var3,pi,glm-5.3-flash,35,True,0.739236611566,0.739051,0.729756,96,
